StationName,State,ABSLMP,ID,Latitude,Longitude,MetadataURL,MonthlyStatsURL
Turtle Head,Queensland,FALSE,,-10.521666,142.2116666,http://www.bom.gov.au/ntc/IDO50000/IDO50000_58180.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_58180_SLD.txt
Urangan,Queensland,FALSE,,-25.3,152.916666,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59850.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59850_SLD.txt
Weipa (Humbug Point),Queensland,FALSE,,-12.66666,141.86666,http://www.bom.gov.au/ntc/IDO50000/IDO50000_63620.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_63620_SLD.txt
Albany,Western Australia,FALSE,,-35.03372222,117.8925556,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62120.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62120_SLD.txt
Bunbury (Inner),Western Australia,FALSE,,-33.32344444,115.6599722,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62190.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62190_SLD.txt
Cape Lambert,Western Australia,FALSE,,-20.58797222,117.1860278,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62550.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62550_SLD.txt
Carnarvon,Western Australia,FALSE,,-24.89869444,113.6510278,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62370.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62370_SLD.txt
Exmouth,Western Australia,FALSE,,-21.95486111,114.1408889,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62435.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62435_SLD.txt
Fremantle,Western Australia,FALSE,,-32.05583,115.7395,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62230.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62230_SLD.txt
Geraldton,Western Australia,FALSE,,-28.77597222,114.6018889,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62290.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62290_SLD.txt
Hillarys,Western Australia,FALSE,,-31.8256,115.7386,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62237.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62237_SLD.txt
King Bay,Western Australia,FALSE,,-20.62361111,116.7490556,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62540.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62540_SLD.txt
Onslow,Western Australia,FALSE,,-21.64976944,115.1315556,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62470.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62470_SLD.txt
Port Hedland,Western Australia,FALSE,,-20.31758333,118.5744167,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62590.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_62590_SLD.txt
Wyndham,Western Australia,FALSE,,-15.45327778,128.1010278,http://www.bom.gov.au/ntc/IDO50000/IDO50000_63090.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_63090_SLD.txt
Port Adelaide (Outer Harbor),South Australia,FALSE,,-34.77976111,138.4807278,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61600.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61600_SLD.txt
Port Giles,South Australia,FALSE,,-35.02178056,137.7683194,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61685.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61685_SLD.txt
Port Lincoln,South Australia,FALSE,,-34.71590278,135.8700111,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61900.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61900_SLD.txt
Port Pirie,South Australia,FALSE,,-33.17764444,138.01165,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61800.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61800_SLD.txt
Victor Harbor,South Australia,FALSE,,-35.56248056,138.6354028,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61490.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61490_SLD.txt
Wallaroo,South Australia,FALSE,,-33.92601667,137.6151694,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61780.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61780_SLD.txt
Whyalla,South Australia,FALSE,,-33.01278333,137.5903556,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61840.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_61840_SLD.txt
Low Head,Tasmania,FALSE,,-41.065075,146.7947389,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60948.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_60948_SLD.txt
Mersey River (Devonport),Tasmania,FALSE,,-41.18469167,146.3624306,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60930.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_60930_SLD.txt
Darwin,Northern Territory,FALSE,,-12.4719,130.8458,http://www.bom.gov.au/ntc/IDO50000/IDO50000_63230.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_63230_SLD.txt
